_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ mapa_random_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
iteração 120 mapa_random| tempo exec  13.14400577545166
iteração 121 mapa_random| tempo exec  13.414820194244385
iteração 122 mapa_random| tempo exec  13.41730785369873
iteração 123 mapa_random| tempo exec  13.3357253074646
iteração 124 mapa_random| tempo exec  14.412469863891602
iteração 125 mapa_random| tempo exec  13.571532249450684
iteração 126 mapa_random| tempo exec  14.067931175231934
iteração 127 mapa_random| tempo exec  13.8095121383667
iteração 128 mapa_random| tempo exec  14.334858655929565
iteração 129 mapa_random| tempo exec  13.412229061126709
iteração 130 mapa_random| tempo exec  11.786157608032227
iteração 131 mapa_random| tempo exec  13.453654050827026
iteração 132 mapa_random| tempo exec  13.668652534484863
iteração 133 mapa_random| tempo exec  12.99008584022522
iteração 134 mapa_random| tempo exec  12.539053440093994
iteração 135 mapa_random| tempo exec  14.307468891143799
iteração 136 mapa_random| tempo exec  19.077898502349854
iteração 137 mapa_random| tempo exec  19.050862073898315
iteração 138 mapa_random| tempo exec  17.277496337890625
iteração 139 mapa_random| tempo exec  17.540615558624268
iteração 140 mapa_random| tempo exec  17.519617319107056
iteração 141 mapa_random| tempo exec  15.061279535293579
iteração 142 mapa_random| tempo exec  13.980870962142944
iteração 143 mapa_random| tempo exec  13.751199007034302
iteração 144 mapa_random| tempo exec  13.57056736946106
iteração 145 mapa_random| tempo exec  13.007017612457275
iteração 146 mapa_random| tempo exec  13.641279935836792
iteração 147 mapa_random| tempo exec  12.008095502853394
iteração 148 mapa_random| tempo exec  12.619473934173584
iteração 149 mapa_random| tempo exec  13.30973196029663
iteração 150 mapa_random| tempo exec  12.842637300491333
iteração 151 mapa_random| tempo exec  13.402583599090576
iteração 152 mapa_random| tempo exec  11.185572862625122
iteração 153 mapa_random| tempo exec  11.216880083084106
iteração 154 mapa_random| tempo exec  13.565589904785156
iteração 155 mapa_random| tempo exec  12.968883752822876
iteração 156 mapa_random| tempo exec  12.674767017364502
iteração 157 mapa_random| tempo exec  13.142586946487427
iteração 158 mapa_random| tempo exec  11.669387817382812
iteração 159 mapa_random| tempo exec  13.347283601760864
iteração 160 mapa_random| tempo exec  11.125824689865112
iteração 161 mapa_random| tempo exec  11.434777975082397
iteração 162 mapa_random| tempo exec  13.258749961853027
iteração 163 mapa_random| tempo exec  13.352973461151123
iteração 164 mapa_random| tempo exec  12.556415319442749
iteração 165 mapa_random| tempo exec  12.557913780212402
iteração 166 mapa_random| tempo exec  10.930402040481567
iteração 167 mapa_random| tempo exec  13.368569612503052
iteração 168 mapa_random| tempo exec  13.212911605834961
iteração 169 mapa_random| tempo exec  12.004488229751587
iteração 170 mapa_random| tempo exec  12.0193510055542
iteração 171 mapa_random| tempo exec  12.347188711166382
iteração 172 mapa_random| tempo exec  12.420497417449951
iteração 173 mapa_random| tempo exec  13.339127540588379
iteração 174 mapa_random| tempo exec  12.637034177780151
iteração 175 mapa_random| tempo exec  13.8045654296875
iteração 176 mapa_random| tempo exec  14.092356204986572
iteração 177 mapa_random| tempo exec  13.555866479873657
iteração 178 mapa_random| tempo exec  13.459407091140747
iteração 179 mapa_random| tempo exec  13.14082956314087
iteração 180 mapa_random| tempo exec  13.241065263748169
iteração 181 mapa_random| tempo exec  14.080994844436646
iteração 182 mapa_random| tempo exec  7.842540979385376
iteração 183 mapa_random| tempo exec  13.09351634979248
iteração 184 mapa_random| tempo exec  12.435580730438232
iteração 185 mapa_random| tempo exec  12.331154823303223
iteração 186 mapa_random| tempo exec  12.289344549179077
iteração 187 mapa_random| tempo exec  13.842681407928467
iteração 188 mapa_random| tempo exec  10.289145946502686
iteração 189 mapa_random| tempo exec  12.388149738311768
iteração 190 mapa_random| tempo exec  13.573876142501831
iteração 191 mapa_random| tempo exec  14.265009641647339
iteração 192 mapa_random| tempo exec  14.014886140823364
iteração 193 mapa_random| tempo exec  12.458981037139893
iteração 194 mapa_random| tempo exec  13.113679647445679
iteração 195 mapa_random| tempo exec  13.465059757232666
iteração 196 mapa_random| tempo exec  12.412003755569458
iteração 197 mapa_random| tempo exec  13.307708978652954
iteração 198 mapa_random| tempo exec  12.97496485710144
iteração 199 mapa_random| tempo exec  13.944651126861572
iteração 200 mapa_random| tempo exec  13.342657804489136
iteração 201 mapa_random| tempo exec  13.66305685043335
iteração 202 mapa_random| tempo exec  11.140302181243896
iteração 203 mapa_random| tempo exec  12.622620582580566
iteração 204 mapa_random| tempo exec  12.94310998916626
iteração 205 mapa_random| tempo exec  12.91965103149414
iteração 206 mapa_random| tempo exec  12.773521900177002
iteração 207 mapa_random| tempo exec  13.246865272521973
iteração 208 mapa_random| tempo exec  12.534766674041748
iteração 209 mapa_random| tempo exec  13.909648895263672
iteração 210 mapa_random| tempo exec  10.658792972564697
iteração 211 mapa_random| tempo exec  13.146491765975952
iteração 212 mapa_random| tempo exec  12.809426307678223
iteração 213 mapa_random| tempo exec  13.101293087005615
iteração 214 mapa_random| tempo exec  13.67257571220398
iteração 215 mapa_random| tempo exec  13.499104976654053
iteração 216 mapa_random| tempo exec  12.860767841339111
iteração 217 mapa_random| tempo exec  13.780630588531494
iteração 218 mapa_random| tempo exec  13.846596479415894
iteração 219 mapa_random| tempo exec  13.045207023620605
iteração 220 mapa_random| tempo exec  13.308084726333618
iteração 221 mapa_random| tempo exec  13.287277698516846
iteração 222 mapa_random| tempo exec  13.075228929519653
iteração 223 mapa_random| tempo exec  11.253990650177002
iteração 224 mapa_random| tempo exec  13.9848473072052
iteração 225 mapa_random| tempo exec  12.538034439086914
iteração 226 mapa_random| tempo exec  12.687960147857666
iteração 227 mapa_random| tempo exec  13.645997524261475
iteração 228 mapa_random| tempo exec  13.919536113739014
iteração 229 mapa_random| tempo exec  13.31935453414917
iteração 230 mapa_random| tempo exec  12.915618419647217
iteração 231 mapa_random| tempo exec  13.922980546951294
iteração 232 mapa_random| tempo exec  12.579649448394775
iteração 233 mapa_random| tempo exec  13.595041751861572
iteração 234 mapa_random| tempo exec  13.845930814743042
iteração 235 mapa_random| tempo exec  13.894399881362915
iteração 236 mapa_random| tempo exec  13.970927715301514
iteração 237 mapa_random| tempo exec  13.104933977127075
iteração 238 mapa_random| tempo exec  13.44372010231018
iteração 239 mapa_random| tempo exec  12.24378514289856
iteração 240 mapa_random| tempo exec  13.175132274627686
iteração 241 mapa_random| tempo exec  13.239768028259277
iteração 242 mapa_random| tempo exec  12.717589378356934
iteração 243 mapa_random| tempo exec  12.757960557937622
iteração 244 mapa_random| tempo exec  13.7683846950531
iteração 245 mapa_random| tempo exec  14.02159309387207
iteração 246 mapa_random| tempo exec  12.403530359268188
iteração 247 mapa_random| tempo exec  14.134430885314941
iteração 248 mapa_random| tempo exec  12.642393112182617
iteração 249 mapa_random| tempo exec  12.838103771209717
iteração 250 mapa_random| tempo exec  13.420408725738525
iteração 251 mapa_random| tempo exec  12.796434879302979
iteração 252 mapa_random| tempo exec  13.028002262115479
iteração 253 mapa_random| tempo exec  12.717175960540771
iteração 254 mapa_random| tempo exec  13.420719861984253
iteração 255 mapa_random| tempo exec  13.060657262802124
iteração 256 mapa_random| tempo exec  13.746205568313599
iteração 257 mapa_random| tempo exec  13.011076927185059
iteração 258 mapa_random| tempo exec  12.758105516433716
iteração 259 mapa_random| tempo exec  13.058633804321289
iteração 260 mapa_random| tempo exec  12.743227005004883
iteração 261 mapa_random| tempo exec  14.168296337127686
iteração 262 mapa_random| tempo exec  13.12885856628418
iteração 263 mapa_random| tempo exec  12.730371713638306
iteração 264 mapa_random| tempo exec  13.354841947555542
iteração 265 mapa_random| tempo exec  13.07276439666748
iteração 266 mapa_random| tempo exec  15.136596441268921
iteração 267 mapa_random| tempo exec  13.613712787628174
iteração 268 mapa_random| tempo exec  13.103030443191528
iteração 269 mapa_random| tempo exec  12.983577251434326
iteração 270 mapa_random| tempo exec  13.69675326347351
iteração 271 mapa_random| tempo exec  13.683763265609741
iteração 272 mapa_random| tempo exec  14.54877519607544
iteração 273 mapa_random| tempo exec  13.067580223083496
iteração 274 mapa_random| tempo exec  13.282786846160889
iteração 275 mapa_random| tempo exec  14.237398386001587
iteração 276 mapa_random| tempo exec  13.887979507446289
iteração 277 mapa_random| tempo exec  14.457390785217285
iteração 278 mapa_random| tempo exec  12.918590307235718
iteração 279 mapa_random| tempo exec  11.742002248764038
iteração 280 mapa_random| tempo exec  12.969311714172363
iteração 281 mapa_random| tempo exec  13.643803596496582
iteração 282 mapa_random| tempo exec  13.211749076843262
iteração 283 mapa_random| tempo exec  13.122545003890991
iteração 284 mapa_random| tempo exec  13.747076034545898
iteração 285 mapa_random| tempo exec  12.907883644104004
iteração 286 mapa_random| tempo exec  13.583613872528076
iteração 287 mapa_random| tempo exec  13.531824588775635
iteração 288 mapa_random| tempo exec  13.163068294525146
iteração 289 mapa_random| tempo exec  13.232811450958252
iteração 290 mapa_random| tempo exec  13.354825735092163
iteração 291 mapa_random| tempo exec  13.650887250900269
iteração 292 mapa_random| tempo exec  13.39574909210205
iteração 293 mapa_random| tempo exec  14.03171420097351
iteração 294 mapa_random| tempo exec  14.226802110671997
iteração 295 mapa_random| tempo exec  13.473098754882812
iteração 296 mapa_random| tempo exec  13.630260229110718
iteração 297 mapa_random| tempo exec  11.512090921401978
iteração 298 mapa_random| tempo exec  13.498260021209717
iteração 299 mapa_random| tempo exec  13.33720874786377
iteração 300 mapa_random| tempo exec  13.721912860870361
iteração 301 mapa_random| tempo exec  12.862154483795166
iteração 302 mapa_random| tempo exec  10.651428699493408
iteração 303 mapa_random| tempo exec  12.991320848464966
iteração 304 mapa_random| tempo exec  12.711893081665039
iteração 305 mapa_random| tempo exec  12.187045097351074
iteração 306 mapa_random| tempo exec  13.959659814834595
iteração 307 mapa_random| tempo exec  13.095431089401245
iteração 308 mapa_random| tempo exec  11.450087547302246
iteração 309 mapa_random| tempo exec  13.785927057266235
iteração 310 mapa_random| tempo exec  13.497256517410278
iteração 311 mapa_random| tempo exec  13.16538143157959
iteração 312 mapa_random| tempo exec  12.794395923614502
iteração 313 mapa_random| tempo exec  12.653944253921509
iteração 314 mapa_random| tempo exec  13.023567199707031
iteração 315 mapa_random| tempo exec  12.804795503616333
iteração 316 mapa_random| tempo exec  12.912266492843628
iteração 317 mapa_random| tempo exec  13.180651426315308
iteração 318 mapa_random| tempo exec  13.216831684112549
iteração 319 mapa_random| tempo exec  13.792394876480103
iteração 320 mapa_random| tempo exec  14.243106126785278
iteração 321 mapa_random| tempo exec  14.561157703399658
iteração 322 mapa_random| tempo exec  13.35468339920044
iteração 323 mapa_random| tempo exec  12.541400909423828
iteração 324 mapa_random| tempo exec  13.05152440071106
iteração 325 mapa_random| tempo exec  11.152938842773438
iteração 326 mapa_random| tempo exec  13.658352851867676
iteração 327 mapa_random| tempo exec  13.295307397842407
iteração 328 mapa_random| tempo exec  13.878841400146484
iteração 329 mapa_random| tempo exec  12.462996006011963
iteração 330 mapa_random| tempo exec  14.878643274307251
iteração 331 mapa_random| tempo exec  13.463982105255127
iteração 332 mapa_random| tempo exec  13.72781753540039
iteração 333 mapa_random| tempo exec  13.919069766998291
iteração 334 mapa_random| tempo exec  13.267541885375977
iteração 335 mapa_random| tempo exec  14.966553926467896
iteração 336 mapa_random| tempo exec  13.892555952072144
iteração 337 mapa_random| tempo exec  12.354371786117554
iteração 338 mapa_random| tempo exec  12.953080415725708
iteração 339 mapa_random| tempo exec  13.072574615478516
iteração 340 mapa_random| tempo exec  13.78650712966919
iteração 341 mapa_random| tempo exec  13.83549189567566
iteração 342 mapa_random| tempo exec  12.972434759140015
iteração 343 mapa_random| tempo exec  14.330822229385376
iteração 344 mapa_random| tempo exec  13.828551292419434
iteração 345 mapa_random| tempo exec  13.754762887954712
iteração 346 mapa_random| tempo exec  13.500477075576782
iteração 347 mapa_random| tempo exec  13.527331352233887
iteração 348 mapa_random| tempo exec  11.860755205154419
iteração 349 mapa_random| tempo exec  12.121924638748169
iteração 350 mapa_random| tempo exec  14.105286598205566
iteração 351 mapa_random| tempo exec  13.634243726730347
iteração 352 mapa_random| tempo exec  9.34342360496521
iteração 353 mapa_random| tempo exec  13.025059223175049
iteração 354 mapa_random| tempo exec  14.5376615524292
iteração 355 mapa_random| tempo exec  14.657467365264893
iteração 356 mapa_random| tempo exec  12.290767669677734
iteração 357 mapa_random| tempo exec  13.444273948669434
iteração 358 mapa_random| tempo exec  13.813108444213867
iteração 359 mapa_random| tempo exec  14.33690857887268
iteração 360 mapa_random| tempo exec  13.60207200050354
iteração 361 mapa_random| tempo exec  13.556267023086548
iteração 362 mapa_random| tempo exec  12.430367946624756
iteração 363 mapa_random| tempo exec  13.528180599212646
iteração 364 mapa_random| tempo exec  13.95377254486084
iteração 365 mapa_random| tempo exec  13.488381385803223
iteração 366 mapa_random| tempo exec  12.853843450546265
iteração 367 mapa_random| tempo exec  11.597246170043945
iteração 368 mapa_random| tempo exec  13.953554391860962
iteração 369 mapa_random| tempo exec  13.892073154449463
iteração 370 mapa_random| tempo exec  13.030386924743652
iteração 371 mapa_random| tempo exec  14.447405099868774
iteração 372 mapa_random| tempo exec  13.331977128982544
iteração 373 mapa_random| tempo exec  14.152361154556274
iteração 374 mapa_random| tempo exec  14.482884883880615
iteração 375 mapa_random| tempo exec  13.370109796524048
